Epoch: 0, NMI against class labels: 0.091, domain labels: 0.671, previous assignment: -0.000
Epoch: 1, NMI against class labels: 0.067, domain labels: 0.711, previous assignment: 0.737
Epoch: 2, NMI against class labels: 0.085, domain labels: 0.660, previous assignment: 0.777
Epoch: 3, NMI against class labels: 0.066, domain labels: 0.666, previous assignment: 0.791
Epoch: 4, NMI against class labels: 0.108, domain labels: 0.630, previous assignment: 0.712
Epoch: 5, NMI against class labels: 0.066, domain labels: 0.675, previous assignment: 0.715
Epoch: 6, NMI against class labels: 0.120, domain labels: 0.621, previous assignment: 0.656
Epoch: 7, NMI against class labels: 0.067, domain labels: 0.678, previous assignment: 0.664
Epoch: 8, NMI against class labels: 0.114, domain labels: 0.625, previous assignment: 0.688
Epoch: 9, NMI against class labels: 0.107, domain labels: 0.628, previous assignment: 0.920
Epoch: 10, NMI against class labels: 0.100, domain labels: 0.622, previous assignment: 0.828
Epoch: 11, NMI against class labels: 0.078, domain labels: 0.648, previous assignment: 0.785
Epoch: 12, NMI against class labels: 0.112, domain labels: 0.617, previous assignment: 0.695
Epoch: 13, NMI against class labels: 0.109, domain labels: 0.629, previous assignment: 0.850
Epoch: 14, NMI against class labels: 0.105, domain labels: 0.630, previous assignment: 0.823
Epoch: 15, NMI against class labels: 0.115, domain labels: 0.620, previous assignment: 0.741
Epoch: 16, NMI against class labels: 0.101, domain labels: 0.616, previous assignment: 0.752
Epoch: 17, NMI against class labels: 0.106, domain labels: 0.627, previous assignment: 0.861
Epoch: 18, NMI against class labels: 0.096, domain labels: 0.624, previous assignment: 0.839
Epoch: 19, NMI against class labels: 0.111, domain labels: 0.622, previous assignment: 0.809
Epoch: 20, NMI against class labels: 0.111, domain labels: 0.622, previous assignment: 0.892
Epoch: 21, NMI against class labels: 0.108, domain labels: 0.630, previous assignment: 0.927
Epoch: 22, NMI against class labels: 0.104, domain labels: 0.620, previous assignment: 0.794
Epoch: 23, NMI against class labels: 0.108, domain labels: 0.626, previous assignment: 0.890
Epoch: 24, NMI against class labels: 0.112, domain labels: 0.621, previous assignment: 0.826
Epoch: 25, NMI against class labels: 0.111, domain labels: 0.626, previous assignment: 0.888
Epoch: 26, NMI against class labels: 0.111, domain labels: 0.624, previous assignment: 0.893
Epoch: 27, NMI against class labels: 0.113, domain labels: 0.624, previous assignment: 0.965
Epoch: 28, NMI against class labels: 0.111, domain labels: 0.624, previous assignment: 0.958
Epoch: 29, NMI against class labels: 0.111, domain labels: 0.624, previous assignment: 0.902
Epoch: 30, NMI against class labels: 0.111, domain labels: 0.623, previous assignment: 0.910
Epoch: 31, NMI against class labels: 0.112, domain labels: 0.623, previous assignment: 0.956
Epoch: 32, NMI against class labels: 0.111, domain labels: 0.625, previous assignment: 0.933
Epoch: 33, NMI against class labels: 0.111, domain labels: 0.623, previous assignment: 0.965
Epoch: 34, NMI against class labels: 0.112, domain labels: 0.624, previous assignment: 0.941
Epoch: 35, NMI against class labels: 0.111, domain labels: 0.625, previous assignment: 0.907
Epoch: 36, NMI against class labels: 0.110, domain labels: 0.624, previous assignment: 0.964
Epoch: 37, NMI against class labels: 0.110, domain labels: 0.626, previous assignment: 0.981
Epoch: 38, NMI against class labels: 0.110, domain labels: 0.628, previous assignment: 0.955
Epoch: 39, NMI against class labels: 0.111, domain labels: 0.628, previous assignment: 0.962
Epoch: 40, NMI against class labels: 0.111, domain labels: 0.629, previous assignment: 0.990
Epoch: 41, NMI against class labels: 0.112, domain labels: 0.627, previous assignment: 0.956
Epoch: 42, NMI against class labels: 0.111, domain labels: 0.628, previous assignment: 0.982
Epoch: 43, NMI against class labels: 0.110, domain labels: 0.628, previous assignment: 0.965
Epoch: 44, NMI against class labels: 0.110, domain labels: 0.628, previous assignment: 0.942
Epoch: 45, NMI against class labels: 0.112, domain labels: 0.628, previous assignment: 0.935
Epoch: 46, NMI against class labels: 0.111, domain labels: 0.629, previous assignment: 0.957
Epoch: 47, NMI against class labels: 0.111, domain labels: 0.627, previous assignment: 0.957
Epoch: 48, NMI against class labels: 0.111, domain labels: 0.627, previous assignment: 0.986
Epoch: 49, NMI against class labels: 0.111, domain labels: 0.627, previous assignment: 0.994
Epoch: 50, NMI against class labels: 0.111, domain labels: 0.627, previous assignment: 0.998
Epoch: 51, NMI against class labels: 0.111, domain labels: 0.627, previous assignment: 0.998
Epoch: 52, NMI against class labels: 0.112, domain labels: 0.627, previous assignment: 0.980
Epoch: 53, NMI against class labels: 0.112, domain labels: 0.627, previous assignment: 0.997
Epoch: 54, NMI against class labels: 0.111, domain labels: 0.627, previous assignment: 0.991
Epoch: 55, NMI against class labels: 0.111, domain labels: 0.627, previous assignment: 1.000
Epoch: 56, NMI against class labels: 0.111, domain labels: 0.628, previous assignment: 0.978
Epoch: 57, NMI against class labels: 0.111, domain labels: 0.628, previous assignment: 0.980
Epoch: 58, NMI against class labels: 0.111, domain labels: 0.627, previous assignment: 0.969
Epoch: 59, NMI against class labels: 0.110, domain labels: 0.628, previous assignment: 0.982
