Epoch: 0, NMI against class labels: 0.055, domain labels: 0.798, previous assignment: -0.000
Epoch: 1, NMI against class labels: 0.058, domain labels: 0.737, previous assignment: 0.848
Epoch: 2, NMI against class labels: 0.058, domain labels: 0.735, previous assignment: 0.954
Epoch: 3, NMI against class labels: 0.057, domain labels: 0.740, previous assignment: 0.945
Epoch: 4, NMI against class labels: 0.059, domain labels: 0.733, previous assignment: 0.928
Epoch: 5, NMI against class labels: 0.059, domain labels: 0.739, previous assignment: 0.918
Epoch: 6, NMI against class labels: 0.057, domain labels: 0.736, previous assignment: 0.924
Epoch: 7, NMI against class labels: 0.057, domain labels: 0.750, previous assignment: 0.938
Epoch: 8, NMI against class labels: 0.057, domain labels: 0.737, previous assignment: 0.905
Epoch: 9, NMI against class labels: 0.056, domain labels: 0.744, previous assignment: 0.928
Epoch: 10, NMI against class labels: 0.056, domain labels: 0.749, previous assignment: 0.928
Epoch: 11, NMI against class labels: 0.057, domain labels: 0.740, previous assignment: 0.945
Epoch: 12, NMI against class labels: 0.056, domain labels: 0.737, previous assignment: 0.906
Epoch: 13, NMI against class labels: 0.059, domain labels: 0.731, previous assignment: 0.902
Epoch: 14, NMI against class labels: 0.056, domain labels: 0.739, previous assignment: 0.908
Epoch: 15, NMI against class labels: 0.058, domain labels: 0.737, previous assignment: 0.896
Epoch: 16, NMI against class labels: 0.059, domain labels: 0.738, previous assignment: 0.936
Epoch: 17, NMI against class labels: 0.056, domain labels: 0.745, previous assignment: 0.897
Epoch: 18, NMI against class labels: 0.056, domain labels: 0.757, previous assignment: 0.933
Epoch: 19, NMI against class labels: 0.058, domain labels: 0.738, previous assignment: 0.916
Epoch: 20, NMI against class labels: 0.056, domain labels: 0.745, previous assignment: 0.892
Epoch: 21, NMI against class labels: 0.056, domain labels: 0.746, previous assignment: 0.935
Epoch: 22, NMI against class labels: 0.057, domain labels: 0.746, previous assignment: 0.944
Epoch: 23, NMI against class labels: 0.056, domain labels: 0.744, previous assignment: 0.915
Epoch: 24, NMI against class labels: 0.057, domain labels: 0.739, previous assignment: 0.943
Epoch: 25, NMI against class labels: 0.056, domain labels: 0.745, previous assignment: 0.973
Epoch: 26, NMI against class labels: 0.056, domain labels: 0.749, previous assignment: 0.983
Epoch: 27, NMI against class labels: 0.056, domain labels: 0.747, previous assignment: 0.984
Epoch: 28, NMI against class labels: 0.056, domain labels: 0.748, previous assignment: 0.992
Epoch: 29, NMI against class labels: 0.057, domain labels: 0.749, previous assignment: 0.978
Epoch: 30, NMI against class labels: 0.057, domain labels: 0.749, previous assignment: 0.991
Epoch: 31, NMI against class labels: 0.057, domain labels: 0.748, previous assignment: 0.988
Epoch: 32, NMI against class labels: 0.056, domain labels: 0.750, previous assignment: 0.981
Epoch: 33, NMI against class labels: 0.057, domain labels: 0.747, previous assignment: 0.991
Epoch: 34, NMI against class labels: 0.056, domain labels: 0.750, previous assignment: 0.989
Epoch: 35, NMI against class labels: 0.057, domain labels: 0.748, previous assignment: 0.985
Epoch: 36, NMI against class labels: 0.056, domain labels: 0.751, previous assignment: 0.990
Epoch: 37, NMI against class labels: 0.056, domain labels: 0.753, previous assignment: 0.986
Epoch: 38, NMI against class labels: 0.056, domain labels: 0.752, previous assignment: 0.995
Epoch: 39, NMI against class labels: 0.056, domain labels: 0.752, previous assignment: 0.985
Epoch: 40, NMI against class labels: 0.056, domain labels: 0.752, previous assignment: 0.988
Epoch: 41, NMI against class labels: 0.056, domain labels: 0.753, previous assignment: 0.987
Epoch: 42, NMI against class labels: 0.056, domain labels: 0.756, previous assignment: 0.982
Epoch: 43, NMI against class labels: 0.056, domain labels: 0.753, previous assignment: 0.980
Epoch: 44, NMI against class labels: 0.056, domain labels: 0.757, previous assignment: 0.987
Epoch: 45, NMI against class labels: 0.056, domain labels: 0.756, previous assignment: 0.993
Epoch: 46, NMI against class labels: 0.056, domain labels: 0.757, previous assignment: 0.993
Epoch: 47, NMI against class labels: 0.056, domain labels: 0.755, previous assignment: 0.992
Epoch: 48, NMI against class labels: 0.056, domain labels: 0.754, previous assignment: 0.992
Epoch: 49, NMI against class labels: 0.056, domain labels: 0.754, previous assignment: 0.999
Epoch: 50, NMI against class labels: 0.056, domain labels: 0.755, previous assignment: 0.999
Epoch: 51, NMI against class labels: 0.056, domain labels: 0.754, previous assignment: 0.999
Epoch: 52, NMI against class labels: 0.056, domain labels: 0.755, previous assignment: 0.997
Epoch: 53, NMI against class labels: 0.056, domain labels: 0.755, previous assignment: 0.998
Epoch: 54, NMI against class labels: 0.056, domain labels: 0.755, previous assignment: 0.997
Epoch: 55, NMI against class labels: 0.056, domain labels: 0.755, previous assignment: 0.996
Epoch: 56, NMI against class labels: 0.056, domain labels: 0.755, previous assignment: 0.996
Epoch: 57, NMI against class labels: 0.056, domain labels: 0.756, previous assignment: 0.997
Epoch: 58, NMI against class labels: 0.056, domain labels: 0.756, previous assignment: 0.998
Epoch: 59, NMI against class labels: 0.056, domain labels: 0.756, previous assignment: 1.000
