Epoch: 0, NMI against class labels: 0.091, domain labels: 0.671, previous assignment: -0.000
Epoch: 1, NMI against class labels: 0.067, domain labels: 0.677, previous assignment: 0.730
Epoch: 2, NMI against class labels: 0.078, domain labels: 0.660, previous assignment: 0.835
Epoch: 3, NMI against class labels: 0.076, domain labels: 0.663, previous assignment: 0.917
Epoch: 4, NMI against class labels: 0.080, domain labels: 0.656, previous assignment: 0.905
Epoch: 5, NMI against class labels: 0.070, domain labels: 0.668, previous assignment: 0.831
Epoch: 6, NMI against class labels: 0.068, domain labels: 0.671, previous assignment: 0.899
Epoch: 7, NMI against class labels: 0.115, domain labels: 0.622, previous assignment: 0.693
Epoch: 8, NMI against class labels: 0.116, domain labels: 0.651, previous assignment: 0.695
Epoch: 9, NMI against class labels: 0.101, domain labels: 0.616, previous assignment: 0.696
Epoch: 10, NMI against class labels: 0.114, domain labels: 0.614, previous assignment: 0.794
Epoch: 11, NMI against class labels: 0.074, domain labels: 0.644, previous assignment: 0.724
Epoch: 12, NMI against class labels: 0.121, domain labels: 0.613, previous assignment: 0.699
Epoch: 13, NMI against class labels: 0.107, domain labels: 0.609, previous assignment: 0.811
Epoch: 14, NMI against class labels: 0.106, domain labels: 0.609, previous assignment: 0.884
Epoch: 15, NMI against class labels: 0.104, domain labels: 0.618, previous assignment: 0.847
Epoch: 16, NMI against class labels: 0.108, domain labels: 0.614, previous assignment: 0.838
Epoch: 17, NMI against class labels: 0.102, domain labels: 0.624, previous assignment: 0.815
Epoch: 18, NMI against class labels: 0.113, domain labels: 0.620, previous assignment: 0.792
Epoch: 19, NMI against class labels: 0.108, domain labels: 0.621, previous assignment: 0.887
Epoch: 20, NMI against class labels: 0.112, domain labels: 0.620, previous assignment: 0.912
Epoch: 21, NMI against class labels: 0.109, domain labels: 0.626, previous assignment: 0.887
Epoch: 22, NMI against class labels: 0.100, domain labels: 0.626, previous assignment: 0.842
Epoch: 23, NMI against class labels: 0.101, domain labels: 0.624, previous assignment: 0.820
Epoch: 24, NMI against class labels: 0.072, domain labels: 0.642, previous assignment: 0.758
Epoch: 25, NMI against class labels: 0.098, domain labels: 0.623, previous assignment: 0.805
Epoch: 26, NMI against class labels: 0.100, domain labels: 0.622, previous assignment: 0.979
Epoch: 27, NMI against class labels: 0.103, domain labels: 0.622, previous assignment: 0.945
Epoch: 28, NMI against class labels: 0.104, domain labels: 0.624, previous assignment: 0.976
Epoch: 29, NMI against class labels: 0.104, domain labels: 0.624, previous assignment: 0.985
Epoch: 30, NMI against class labels: 0.105, domain labels: 0.623, previous assignment: 0.968
Epoch: 31, NMI against class labels: 0.105, domain labels: 0.623, previous assignment: 0.941
Epoch: 32, NMI against class labels: 0.107, domain labels: 0.624, previous assignment: 0.963
Epoch: 33, NMI against class labels: 0.105, domain labels: 0.623, previous assignment: 0.949
Epoch: 34, NMI against class labels: 0.104, domain labels: 0.624, previous assignment: 0.973
Epoch: 35, NMI against class labels: 0.105, domain labels: 0.623, previous assignment: 0.969
Epoch: 36, NMI against class labels: 0.104, domain labels: 0.623, previous assignment: 0.973
Epoch: 37, NMI against class labels: 0.105, domain labels: 0.623, previous assignment: 0.957
Epoch: 38, NMI against class labels: 0.104, domain labels: 0.623, previous assignment: 0.949
Epoch: 39, NMI against class labels: 0.107, domain labels: 0.622, previous assignment: 0.918
Epoch: 40, NMI against class labels: 0.105, domain labels: 0.624, previous assignment: 0.969
Epoch: 41, NMI against class labels: 0.105, domain labels: 0.624, previous assignment: 0.909
Epoch: 42, NMI against class labels: 0.107, domain labels: 0.625, previous assignment: 0.927
Epoch: 43, NMI against class labels: 0.105, domain labels: 0.626, previous assignment: 0.976
Epoch: 44, NMI against class labels: 0.105, domain labels: 0.625, previous assignment: 0.973
Epoch: 45, NMI against class labels: 0.105, domain labels: 0.625, previous assignment: 0.976
Epoch: 46, NMI against class labels: 0.103, domain labels: 0.626, previous assignment: 0.923
Epoch: 47, NMI against class labels: 0.104, domain labels: 0.623, previous assignment: 0.965
Epoch: 48, NMI against class labels: 0.104, domain labels: 0.625, previous assignment: 0.958
Epoch: 49, NMI against class labels: 0.104, domain labels: 0.625, previous assignment: 0.991
Epoch: 50, NMI against class labels: 0.104, domain labels: 0.625, previous assignment: 0.993
Epoch: 51, NMI against class labels: 0.104, domain labels: 0.625, previous assignment: 0.976
Epoch: 52, NMI against class labels: 0.104, domain labels: 0.624, previous assignment: 0.977
Epoch: 53, NMI against class labels: 0.104, domain labels: 0.625, previous assignment: 0.994
Epoch: 54, NMI against class labels: 0.105, domain labels: 0.624, previous assignment: 0.985
Epoch: 55, NMI against class labels: 0.106, domain labels: 0.623, previous assignment: 0.988
Epoch: 56, NMI against class labels: 0.104, domain labels: 0.625, previous assignment: 0.980
Epoch: 57, NMI against class labels: 0.103, domain labels: 0.625, previous assignment: 0.981
Epoch: 58, NMI against class labels: 0.103, domain labels: 0.625, previous assignment: 0.997
Epoch: 59, NMI against class labels: 0.104, domain labels: 0.624, previous assignment: 0.980
