Epoch: 0, NMI against class labels: 0.067, domain labels: 0.431, previous assignment: 0.000
Epoch: 1, NMI against class labels: 0.035, domain labels: 0.477, previous assignment: 0.600
Epoch: 2, NMI against class labels: 0.055, domain labels: 0.418, previous assignment: 0.481
Epoch: 3, NMI against class labels: 0.060, domain labels: 0.372, previous assignment: 0.483
Epoch: 4, NMI against class labels: 0.056, domain labels: 0.409, previous assignment: 0.476
Epoch: 5, NMI against class labels: 0.056, domain labels: 0.378, previous assignment: 0.789
Epoch: 6, NMI against class labels: 0.055, domain labels: 0.393, previous assignment: 0.779
Epoch: 7, NMI against class labels: 0.061, domain labels: 0.335, previous assignment: 0.512
Epoch: 8, NMI against class labels: 0.056, domain labels: 0.378, previous assignment: 0.598
Epoch: 9, NMI against class labels: 0.055, domain labels: 0.375, previous assignment: 0.489
Epoch: 10, NMI against class labels: 0.057, domain labels: 0.397, previous assignment: 0.831
Epoch: 11, NMI against class labels: 0.061, domain labels: 0.381, previous assignment: 0.476
Epoch: 12, NMI against class labels: 0.055, domain labels: 0.396, previous assignment: 0.476
Epoch: 13, NMI against class labels: 0.061, domain labels: 0.379, previous assignment: 0.478
Epoch: 14, NMI against class labels: 0.055, domain labels: 0.372, previous assignment: 0.779
Epoch: 15, NMI against class labels: 0.059, domain labels: 0.400, previous assignment: 0.482
Epoch: 16, NMI against class labels: 0.054, domain labels: 0.378, previous assignment: 0.472
Epoch: 17, NMI against class labels: 0.057, domain labels: 0.383, previous assignment: 0.472
Epoch: 18, NMI against class labels: 0.058, domain labels: 0.386, previous assignment: 0.472
Epoch: 19, NMI against class labels: 0.080, domain labels: 0.390, previous assignment: 0.542
Epoch: 20, NMI against class labels: 0.067, domain labels: 0.373, previous assignment: 0.489
Epoch: 21, NMI against class labels: 0.055, domain labels: 0.395, previous assignment: 0.473
Epoch: 22, NMI against class labels: 0.064, domain labels: 0.384, previous assignment: 0.470
Epoch: 23, NMI against class labels: 0.061, domain labels: 0.369, previous assignment: 0.733
Epoch: 24, NMI against class labels: 0.063, domain labels: 0.374, previous assignment: 0.848
Epoch: 25, NMI against class labels: 0.067, domain labels: 0.385, previous assignment: 0.898
Epoch: 26, NMI against class labels: 0.067, domain labels: 0.385, previous assignment: 0.980
Epoch: 27, NMI against class labels: 0.066, domain labels: 0.383, previous assignment: 0.953
Epoch: 28, NMI against class labels: 0.067, domain labels: 0.383, previous assignment: 0.970
Epoch: 29, NMI against class labels: 0.068, domain labels: 0.379, previous assignment: 0.969
Epoch: 30, NMI against class labels: 0.068, domain labels: 0.380, previous assignment: 0.943
Epoch: 31, NMI against class labels: 0.066, domain labels: 0.375, previous assignment: 0.955
Epoch: 32, NMI against class labels: 0.068, domain labels: 0.374, previous assignment: 0.965
Epoch: 33, NMI against class labels: 0.070, domain labels: 0.374, previous assignment: 0.949
Epoch: 34, NMI against class labels: 0.068, domain labels: 0.377, previous assignment: 0.934
Epoch: 35, NMI against class labels: 0.068, domain labels: 0.376, previous assignment: 0.960
Epoch: 36, NMI against class labels: 0.067, domain labels: 0.377, previous assignment: 0.915
Epoch: 37, NMI against class labels: 0.066, domain labels: 0.373, previous assignment: 0.885
Epoch: 38, NMI against class labels: 0.067, domain labels: 0.378, previous assignment: 0.963
Epoch: 39, NMI against class labels: 0.068, domain labels: 0.378, previous assignment: 0.920
Epoch: 40, NMI against class labels: 0.068, domain labels: 0.373, previous assignment: 0.954
Epoch: 41, NMI against class labels: 0.067, domain labels: 0.376, previous assignment: 0.940
Epoch: 42, NMI against class labels: 0.065, domain labels: 0.377, previous assignment: 0.903
Epoch: 43, NMI against class labels: 0.067, domain labels: 0.377, previous assignment: 0.952
Epoch: 44, NMI against class labels: 0.067, domain labels: 0.380, previous assignment: 0.954
Epoch: 45, NMI against class labels: 0.065, domain labels: 0.382, previous assignment: 0.950
Epoch: 46, NMI against class labels: 0.065, domain labels: 0.381, previous assignment: 0.964
Epoch: 47, NMI against class labels: 0.064, domain labels: 0.376, previous assignment: 0.959
Epoch: 48, NMI against class labels: 0.065, domain labels: 0.381, previous assignment: 0.952
Epoch: 49, NMI against class labels: 0.065, domain labels: 0.380, previous assignment: 0.988
Epoch: 50, NMI against class labels: 0.065, domain labels: 0.380, previous assignment: 0.988
Epoch: 51, NMI against class labels: 0.065, domain labels: 0.380, previous assignment: 0.985
Epoch: 52, NMI against class labels: 0.065, domain labels: 0.380, previous assignment: 0.993
Epoch: 53, NMI against class labels: 0.065, domain labels: 0.381, previous assignment: 0.995
Epoch: 54, NMI against class labels: 0.065, domain labels: 0.380, previous assignment: 0.989
Epoch: 55, NMI against class labels: 0.065, domain labels: 0.380, previous assignment: 0.988
Epoch: 56, NMI against class labels: 0.064, domain labels: 0.380, previous assignment: 0.982
Epoch: 57, NMI against class labels: 0.065, domain labels: 0.381, previous assignment: 0.978
Epoch: 58, NMI against class labels: 0.066, domain labels: 0.381, previous assignment: 0.989
Epoch: 59, NMI against class labels: 0.065, domain labels: 0.380, previous assignment: 0.964
