Epoch: 0, NMI against class labels: 0.091, domain labels: 0.671, previous assignment: -0.000
Epoch: 1, NMI against class labels: 0.111, domain labels: 0.639, previous assignment: 0.813
Epoch: 2, NMI against class labels: 0.115, domain labels: 0.633, previous assignment: 0.697
Epoch: 3, NMI against class labels: 0.091, domain labels: 0.654, previous assignment: 0.665
Epoch: 4, NMI against class labels: 0.067, domain labels: 0.684, previous assignment: 0.792
Epoch: 5, NMI against class labels: 0.068, domain labels: 0.709, previous assignment: 0.818
Epoch: 6, NMI against class labels: 0.107, domain labels: 0.637, previous assignment: 0.676
Epoch: 7, NMI against class labels: 0.112, domain labels: 0.616, previous assignment: 0.837
Epoch: 8, NMI against class labels: 0.104, domain labels: 0.630, previous assignment: 0.862
Epoch: 9, NMI against class labels: 0.107, domain labels: 0.627, previous assignment: 0.907
Epoch: 10, NMI against class labels: 0.103, domain labels: 0.617, previous assignment: 0.908
Epoch: 11, NMI against class labels: 0.109, domain labels: 0.626, previous assignment: 0.869
Epoch: 12, NMI against class labels: 0.120, domain labels: 0.619, previous assignment: 0.831
Epoch: 13, NMI against class labels: 0.102, domain labels: 0.621, previous assignment: 0.774
Epoch: 14, NMI against class labels: 0.114, domain labels: 0.628, previous assignment: 0.802
Epoch: 15, NMI against class labels: 0.105, domain labels: 0.625, previous assignment: 0.833
Epoch: 16, NMI against class labels: 0.090, domain labels: 0.630, previous assignment: 0.833
Epoch: 17, NMI against class labels: 0.109, domain labels: 0.625, previous assignment: 0.818
Epoch: 18, NMI against class labels: 0.110, domain labels: 0.622, previous assignment: 0.859
Epoch: 19, NMI against class labels: 0.103, domain labels: 0.622, previous assignment: 0.845
Epoch: 20, NMI against class labels: 0.109, domain labels: 0.623, previous assignment: 0.862
Epoch: 21, NMI against class labels: 0.104, domain labels: 0.626, previous assignment: 0.865
Epoch: 22, NMI against class labels: 0.099, domain labels: 0.626, previous assignment: 0.908
Epoch: 23, NMI against class labels: 0.100, domain labels: 0.621, previous assignment: 0.922
Epoch: 24, NMI against class labels: 0.111, domain labels: 0.615, previous assignment: 0.833
Epoch: 25, NMI against class labels: 0.108, domain labels: 0.620, previous assignment: 0.894
Epoch: 26, NMI against class labels: 0.106, domain labels: 0.619, previous assignment: 0.961
Epoch: 27, NMI against class labels: 0.108, domain labels: 0.619, previous assignment: 0.965
Epoch: 28, NMI against class labels: 0.107, domain labels: 0.621, previous assignment: 0.963
Epoch: 29, NMI against class labels: 0.109, domain labels: 0.621, previous assignment: 0.952
Epoch: 30, NMI against class labels: 0.109, domain labels: 0.621, previous assignment: 0.936
Epoch: 31, NMI against class labels: 0.108, domain labels: 0.623, previous assignment: 0.936
Epoch: 32, NMI against class labels: 0.110, domain labels: 0.622, previous assignment: 0.967
Epoch: 33, NMI against class labels: 0.110, domain labels: 0.623, previous assignment: 0.934
Epoch: 34, NMI against class labels: 0.109, domain labels: 0.623, previous assignment: 0.969
Epoch: 35, NMI against class labels: 0.109, domain labels: 0.623, previous assignment: 0.954
Epoch: 36, NMI against class labels: 0.111, domain labels: 0.623, previous assignment: 0.971
Epoch: 37, NMI against class labels: 0.109, domain labels: 0.625, previous assignment: 0.944
Epoch: 38, NMI against class labels: 0.109, domain labels: 0.625, previous assignment: 0.975
Epoch: 39, NMI against class labels: 0.108, domain labels: 0.625, previous assignment: 0.927
Epoch: 40, NMI against class labels: 0.108, domain labels: 0.625, previous assignment: 0.988
Epoch: 41, NMI against class labels: 0.105, domain labels: 0.626, previous assignment: 0.953
Epoch: 42, NMI against class labels: 0.107, domain labels: 0.625, previous assignment: 0.974
Epoch: 43, NMI against class labels: 0.109, domain labels: 0.625, previous assignment: 0.915
Epoch: 44, NMI against class labels: 0.108, domain labels: 0.625, previous assignment: 0.931
Epoch: 45, NMI against class labels: 0.108, domain labels: 0.625, previous assignment: 0.975
Epoch: 46, NMI against class labels: 0.110, domain labels: 0.624, previous assignment: 0.942
Epoch: 47, NMI against class labels: 0.109, domain labels: 0.626, previous assignment: 0.978
Epoch: 48, NMI against class labels: 0.110, domain labels: 0.624, previous assignment: 0.983
Epoch: 49, NMI against class labels: 0.110, domain labels: 0.624, previous assignment: 1.000
Epoch: 50, NMI against class labels: 0.110, domain labels: 0.624, previous assignment: 0.999
Epoch: 51, NMI against class labels: 0.110, domain labels: 0.624, previous assignment: 1.000
Epoch: 52, NMI against class labels: 0.109, domain labels: 0.625, previous assignment: 0.984
Epoch: 53, NMI against class labels: 0.109, domain labels: 0.625, previous assignment: 0.991
Epoch: 54, NMI against class labels: 0.109, domain labels: 0.625, previous assignment: 0.991
Epoch: 55, NMI against class labels: 0.109, domain labels: 0.625, previous assignment: 0.990
Epoch: 56, NMI against class labels: 0.109, domain labels: 0.625, previous assignment: 0.998
Epoch: 57, NMI against class labels: 0.109, domain labels: 0.625, previous assignment: 0.996
Epoch: 58, NMI against class labels: 0.109, domain labels: 0.625, previous assignment: 0.994
Epoch: 59, NMI against class labels: 0.109, domain labels: 0.626, previous assignment: 0.968
