Epoch: 0, NMI against class labels: 0.066, domain labels: 0.432, previous assignment: 0.000
Epoch: 1, NMI against class labels: 0.087, domain labels: 0.371, previous assignment: 0.556
Epoch: 2, NMI against class labels: 0.062, domain labels: 0.423, previous assignment: 0.549
Epoch: 3, NMI against class labels: 0.060, domain labels: 0.412, previous assignment: 0.838
Epoch: 4, NMI against class labels: 0.054, domain labels: 0.346, previous assignment: 0.495
Epoch: 5, NMI against class labels: 0.057, domain labels: 0.392, previous assignment: 0.489
Epoch: 6, NMI against class labels: 0.052, domain labels: 0.376, previous assignment: 0.479
Epoch: 7, NMI against class labels: 0.060, domain labels: 0.393, previous assignment: 0.501
Epoch: 8, NMI against class labels: 0.059, domain labels: 0.391, previous assignment: 0.885
Epoch: 9, NMI against class labels: 0.056, domain labels: 0.399, previous assignment: 0.903
Epoch: 10, NMI against class labels: 0.056, domain labels: 0.371, previous assignment: 0.478
Epoch: 11, NMI against class labels: 0.055, domain labels: 0.379, previous assignment: 0.840
Epoch: 12, NMI against class labels: 0.059, domain labels: 0.388, previous assignment: 0.487
Epoch: 13, NMI against class labels: 0.056, domain labels: 0.382, previous assignment: 0.848
Epoch: 14, NMI against class labels: 0.059, domain labels: 0.379, previous assignment: 0.479
Epoch: 15, NMI against class labels: 0.050, domain labels: 0.386, previous assignment: 0.779
Epoch: 16, NMI against class labels: 0.051, domain labels: 0.394, previous assignment: 0.828
Epoch: 17, NMI against class labels: 0.042, domain labels: 0.368, previous assignment: 0.764
Epoch: 18, NMI against class labels: 0.060, domain labels: 0.393, previous assignment: 0.487
Epoch: 19, NMI against class labels: 0.056, domain labels: 0.389, previous assignment: 0.484
Epoch: 20, NMI against class labels: 0.054, domain labels: 0.394, previous assignment: 0.470
Epoch: 21, NMI against class labels: 0.070, domain labels: 0.357, previous assignment: 0.487
Epoch: 22, NMI against class labels: 0.057, domain labels: 0.390, previous assignment: 0.507
Epoch: 23, NMI against class labels: 0.054, domain labels: 0.371, previous assignment: 0.479
Epoch: 24, NMI against class labels: 0.052, domain labels: 0.377, previous assignment: 0.836
Epoch: 25, NMI against class labels: 0.056, domain labels: 0.377, previous assignment: 0.924
Epoch: 26, NMI against class labels: 0.055, domain labels: 0.376, previous assignment: 0.957
Epoch: 27, NMI against class labels: 0.055, domain labels: 0.373, previous assignment: 0.963
Epoch: 28, NMI against class labels: 0.054, domain labels: 0.372, previous assignment: 0.971
Epoch: 29, NMI against class labels: 0.054, domain labels: 0.374, previous assignment: 0.973
Epoch: 30, NMI against class labels: 0.055, domain labels: 0.376, previous assignment: 0.951
Epoch: 31, NMI against class labels: 0.056, domain labels: 0.372, previous assignment: 0.957
Epoch: 32, NMI against class labels: 0.053, domain labels: 0.374, previous assignment: 0.930
Epoch: 33, NMI against class labels: 0.053, domain labels: 0.376, previous assignment: 0.962
Epoch: 34, NMI against class labels: 0.055, domain labels: 0.377, previous assignment: 0.941
Epoch: 35, NMI against class labels: 0.055, domain labels: 0.377, previous assignment: 0.969
Epoch: 36, NMI against class labels: 0.057, domain labels: 0.378, previous assignment: 0.971
Epoch: 37, NMI against class labels: 0.056, domain labels: 0.375, previous assignment: 0.955
Epoch: 38, NMI against class labels: 0.055, domain labels: 0.377, previous assignment: 0.979
Epoch: 39, NMI against class labels: 0.056, domain labels: 0.375, previous assignment: 0.952
Epoch: 40, NMI against class labels: 0.056, domain labels: 0.377, previous assignment: 0.967
Epoch: 41, NMI against class labels: 0.055, domain labels: 0.378, previous assignment: 0.966
Epoch: 42, NMI against class labels: 0.055, domain labels: 0.377, previous assignment: 0.983
Epoch: 43, NMI against class labels: 0.055, domain labels: 0.374, previous assignment: 0.934
Epoch: 44, NMI against class labels: 0.056, domain labels: 0.373, previous assignment: 0.941
Epoch: 45, NMI against class labels: 0.055, domain labels: 0.371, previous assignment: 0.953
Epoch: 46, NMI against class labels: 0.056, domain labels: 0.376, previous assignment: 0.943
Epoch: 47, NMI against class labels: 0.056, domain labels: 0.377, previous assignment: 0.961
Epoch: 48, NMI against class labels: 0.055, domain labels: 0.378, previous assignment: 0.970
Epoch: 49, NMI against class labels: 0.055, domain labels: 0.377, previous assignment: 0.990
Epoch: 50, NMI against class labels: 0.055, domain labels: 0.378, previous assignment: 0.975
Epoch: 51, NMI against class labels: 0.056, domain labels: 0.377, previous assignment: 0.979
Epoch: 52, NMI against class labels: 0.056, domain labels: 0.377, previous assignment: 1.000
Epoch: 53, NMI against class labels: 0.055, domain labels: 0.379, previous assignment: 0.978
Epoch: 54, NMI against class labels: 0.055, domain labels: 0.376, previous assignment: 0.984
Epoch: 55, NMI against class labels: 0.055, domain labels: 0.377, previous assignment: 0.989
Epoch: 56, NMI against class labels: 0.055, domain labels: 0.377, previous assignment: 0.996
Epoch: 57, NMI against class labels: 0.055, domain labels: 0.378, previous assignment: 0.964
Epoch: 58, NMI against class labels: 0.056, domain labels: 0.378, previous assignment: 0.997
Epoch: 59, NMI against class labels: 0.056, domain labels: 0.380, previous assignment: 0.988
