Epoch: 0, NMI against class labels: 0.066, domain labels: 0.431, previous assignment: 0.000
Epoch: 1, NMI against class labels: 0.083, domain labels: 0.377, previous assignment: 0.553
Epoch: 2, NMI against class labels: 0.047, domain labels: 0.360, previous assignment: 0.602
Epoch: 3, NMI against class labels: 0.058, domain labels: 0.401, previous assignment: 0.490
Epoch: 4, NMI against class labels: 0.100, domain labels: 0.352, previous assignment: 0.491
Epoch: 5, NMI against class labels: 0.060, domain labels: 0.374, previous assignment: 0.491
Epoch: 6, NMI against class labels: 0.059, domain labels: 0.395, previous assignment: 0.858
Epoch: 7, NMI against class labels: 0.056, domain labels: 0.333, previous assignment: 0.497
Epoch: 8, NMI against class labels: 0.057, domain labels: 0.384, previous assignment: 0.487
Epoch: 9, NMI against class labels: 0.048, domain labels: 0.357, previous assignment: 0.490
Epoch: 10, NMI against class labels: 0.058, domain labels: 0.400, previous assignment: 0.497
Epoch: 11, NMI against class labels: 0.060, domain labels: 0.387, previous assignment: 0.486
Epoch: 12, NMI against class labels: 0.047, domain labels: 0.365, previous assignment: 0.781
Epoch: 13, NMI against class labels: 0.057, domain labels: 0.399, previous assignment: 0.493
Epoch: 14, NMI against class labels: 0.048, domain labels: 0.368, previous assignment: 0.492
Epoch: 15, NMI against class labels: 0.058, domain labels: 0.392, previous assignment: 0.491
Epoch: 16, NMI against class labels: 0.059, domain labels: 0.373, previous assignment: 0.490
Epoch: 17, NMI against class labels: 0.059, domain labels: 0.387, previous assignment: 0.493
Epoch: 18, NMI against class labels: 0.058, domain labels: 0.408, previous assignment: 0.829
Epoch: 19, NMI against class labels: 0.062, domain labels: 0.378, previous assignment: 0.451
Epoch: 20, NMI against class labels: 0.051, domain labels: 0.364, previous assignment: 0.784
Epoch: 21, NMI against class labels: 0.060, domain labels: 0.379, previous assignment: 0.808
Epoch: 22, NMI against class labels: 0.054, domain labels: 0.372, previous assignment: 0.846
Epoch: 23, NMI against class labels: 0.059, domain labels: 0.396, previous assignment: 0.484
Epoch: 24, NMI against class labels: 0.061, domain labels: 0.387, previous assignment: 0.818
Epoch: 25, NMI against class labels: 0.057, domain labels: 0.376, previous assignment: 0.493
Epoch: 26, NMI against class labels: 0.056, domain labels: 0.370, previous assignment: 0.875
Epoch: 27, NMI against class labels: 0.058, domain labels: 0.383, previous assignment: 0.860
Epoch: 28, NMI against class labels: 0.056, domain labels: 0.378, previous assignment: 0.916
Epoch: 29, NMI against class labels: 0.056, domain labels: 0.383, previous assignment: 0.901
Epoch: 30, NMI against class labels: 0.055, domain labels: 0.382, previous assignment: 0.960
Epoch: 31, NMI against class labels: 0.059, domain labels: 0.378, previous assignment: 0.897
Epoch: 32, NMI against class labels: 0.060, domain labels: 0.377, previous assignment: 0.969
Epoch: 33, NMI against class labels: 0.057, domain labels: 0.379, previous assignment: 0.939
Epoch: 34, NMI against class labels: 0.057, domain labels: 0.380, previous assignment: 0.933
Epoch: 35, NMI against class labels: 0.054, domain labels: 0.377, previous assignment: 0.936
Epoch: 36, NMI against class labels: 0.055, domain labels: 0.378, previous assignment: 0.977
Epoch: 37, NMI against class labels: 0.057, domain labels: 0.378, previous assignment: 0.956
Epoch: 38, NMI against class labels: 0.055, domain labels: 0.377, previous assignment: 0.958
Epoch: 39, NMI against class labels: 0.056, domain labels: 0.382, previous assignment: 0.939
Epoch: 40, NMI against class labels: 0.058, domain labels: 0.378, previous assignment: 0.922
Epoch: 41, NMI against class labels: 0.058, domain labels: 0.381, previous assignment: 0.947
Epoch: 42, NMI against class labels: 0.059, domain labels: 0.381, previous assignment: 0.938
Epoch: 43, NMI against class labels: 0.057, domain labels: 0.382, previous assignment: 0.936
Epoch: 44, NMI against class labels: 0.059, domain labels: 0.379, previous assignment: 0.923
Epoch: 45, NMI against class labels: 0.059, domain labels: 0.378, previous assignment: 0.981
Epoch: 46, NMI against class labels: 0.059, domain labels: 0.379, previous assignment: 0.990
Epoch: 47, NMI against class labels: 0.059, domain labels: 0.381, previous assignment: 0.958
Epoch: 48, NMI against class labels: 0.058, domain labels: 0.381, previous assignment: 0.956
Epoch: 49, NMI against class labels: 0.058, domain labels: 0.380, previous assignment: 0.980
Epoch: 50, NMI against class labels: 0.058, domain labels: 0.379, previous assignment: 0.998
Epoch: 51, NMI against class labels: 0.058, domain labels: 0.379, previous assignment: 0.981
Epoch: 52, NMI against class labels: 0.058, domain labels: 0.379, previous assignment: 0.990
Epoch: 53, NMI against class labels: 0.058, domain labels: 0.379, previous assignment: 0.980
Epoch: 54, NMI against class labels: 0.058, domain labels: 0.378, previous assignment: 0.978
Epoch: 55, NMI against class labels: 0.058, domain labels: 0.378, previous assignment: 0.993
Epoch: 56, NMI against class labels: 0.058, domain labels: 0.379, previous assignment: 0.985
Epoch: 57, NMI against class labels: 0.058, domain labels: 0.379, previous assignment: 0.991
Epoch: 58, NMI against class labels: 0.059, domain labels: 0.378, previous assignment: 0.994
Epoch: 59, NMI against class labels: 0.059, domain labels: 0.381, previous assignment: 0.962
