Epoch: 0, NMI against class labels: 0.061, domain labels: 0.826, previous assignment: -0.000
Epoch: 1, NMI against class labels: 0.060, domain labels: 0.794, previous assignment: 0.883
Epoch: 2, NMI against class labels: 0.061, domain labels: 0.789, previous assignment: 0.926
Epoch: 3, NMI against class labels: 0.061, domain labels: 0.787, previous assignment: 0.946
Epoch: 4, NMI against class labels: 0.059, domain labels: 0.789, previous assignment: 0.924
Epoch: 5, NMI against class labels: 0.061, domain labels: 0.799, previous assignment: 0.936
Epoch: 6, NMI against class labels: 0.060, domain labels: 0.765, previous assignment: 0.913
Epoch: 7, NMI against class labels: 0.060, domain labels: 0.774, previous assignment: 0.950
Epoch: 8, NMI against class labels: 0.060, domain labels: 0.782, previous assignment: 0.955
Epoch: 9, NMI against class labels: 0.059, domain labels: 0.787, previous assignment: 0.929
Epoch: 10, NMI against class labels: 0.061, domain labels: 0.777, previous assignment: 0.939
Epoch: 11, NMI against class labels: 0.059, domain labels: 0.782, previous assignment: 0.942
Epoch: 12, NMI against class labels: 0.060, domain labels: 0.780, previous assignment: 0.941
Epoch: 13, NMI against class labels: 0.060, domain labels: 0.782, previous assignment: 0.954
Epoch: 14, NMI against class labels: 0.059, domain labels: 0.785, previous assignment: 0.948
Epoch: 15, NMI against class labels: 0.060, domain labels: 0.772, previous assignment: 0.933
Epoch: 16, NMI against class labels: 0.060, domain labels: 0.793, previous assignment: 0.933
Epoch: 17, NMI against class labels: 0.062, domain labels: 0.768, previous assignment: 0.917
Epoch: 18, NMI against class labels: 0.060, domain labels: 0.789, previous assignment: 0.928
Epoch: 19, NMI against class labels: 0.060, domain labels: 0.789, previous assignment: 0.932
Epoch: 20, NMI against class labels: 0.059, domain labels: 0.793, previous assignment: 0.921
Epoch: 21, NMI against class labels: 0.062, domain labels: 0.786, previous assignment: 0.925
Epoch: 22, NMI against class labels: 0.060, domain labels: 0.792, previous assignment: 0.942
Epoch: 23, NMI against class labels: 0.061, domain labels: 0.797, previous assignment: 0.959
Epoch: 24, NMI against class labels: 0.060, domain labels: 0.788, previous assignment: 0.944
Epoch: 25, NMI against class labels: 0.060, domain labels: 0.786, previous assignment: 0.978
Epoch: 26, NMI against class labels: 0.060, domain labels: 0.787, previous assignment: 0.992
Epoch: 27, NMI against class labels: 0.060, domain labels: 0.786, previous assignment: 0.994
Epoch: 28, NMI against class labels: 0.060, domain labels: 0.784, previous assignment: 0.989
Epoch: 29, NMI against class labels: 0.060, domain labels: 0.786, previous assignment: 0.994
Epoch: 30, NMI against class labels: 0.060, domain labels: 0.786, previous assignment: 0.993
Epoch: 31, NMI against class labels: 0.061, domain labels: 0.787, previous assignment: 0.984
Epoch: 32, NMI against class labels: 0.061, domain labels: 0.789, previous assignment: 0.992
Epoch: 33, NMI against class labels: 0.060, domain labels: 0.790, previous assignment: 0.989
Epoch: 34, NMI against class labels: 0.061, domain labels: 0.788, previous assignment: 0.982
Epoch: 35, NMI against class labels: 0.061, domain labels: 0.788, previous assignment: 0.986
Epoch: 36, NMI against class labels: 0.060, domain labels: 0.788, previous assignment: 0.986
Epoch: 37, NMI against class labels: 0.061, domain labels: 0.787, previous assignment: 0.986
Epoch: 38, NMI against class labels: 0.060, domain labels: 0.787, previous assignment: 0.991
Epoch: 39, NMI against class labels: 0.061, domain labels: 0.789, previous assignment: 0.989
Epoch: 40, NMI against class labels: 0.060, domain labels: 0.792, previous assignment: 0.990
Epoch: 41, NMI against class labels: 0.061, domain labels: 0.790, previous assignment: 0.987
Epoch: 42, NMI against class labels: 0.061, domain labels: 0.793, previous assignment: 0.987
Epoch: 43, NMI against class labels: 0.060, domain labels: 0.792, previous assignment: 0.993
Epoch: 44, NMI against class labels: 0.060, domain labels: 0.792, previous assignment: 0.989
Epoch: 45, NMI against class labels: 0.060, domain labels: 0.791, previous assignment: 0.989
Epoch: 46, NMI against class labels: 0.060, domain labels: 0.788, previous assignment: 0.984
Epoch: 47, NMI against class labels: 0.060, domain labels: 0.789, previous assignment: 0.985
Epoch: 48, NMI against class labels: 0.061, domain labels: 0.793, previous assignment: 0.977
Epoch: 49, NMI against class labels: 0.061, domain labels: 0.793, previous assignment: 0.998
Epoch: 50, NMI against class labels: 0.061, domain labels: 0.792, previous assignment: 0.998
Epoch: 51, NMI against class labels: 0.061, domain labels: 0.792, previous assignment: 0.997
Epoch: 52, NMI against class labels: 0.061, domain labels: 0.792, previous assignment: 0.996
Epoch: 53, NMI against class labels: 0.061, domain labels: 0.791, previous assignment: 0.993
Epoch: 54, NMI against class labels: 0.061, domain labels: 0.791, previous assignment: 1.000
Epoch: 55, NMI against class labels: 0.061, domain labels: 0.790, previous assignment: 0.998
Epoch: 56, NMI against class labels: 0.061, domain labels: 0.790, previous assignment: 1.000
Epoch: 57, NMI against class labels: 0.061, domain labels: 0.789, previous assignment: 0.997
Epoch: 58, NMI against class labels: 0.061, domain labels: 0.789, previous assignment: 0.997
Epoch: 59, NMI against class labels: 0.061, domain labels: 0.788, previous assignment: 0.997
