Epoch: 0, NMI against class labels: 0.055, domain labels: 0.798, previous assignment: -0.000
Epoch: 1, NMI against class labels: 0.057, domain labels: 0.735, previous assignment: 0.847
Epoch: 2, NMI against class labels: 0.058, domain labels: 0.738, previous assignment: 0.912
Epoch: 3, NMI against class labels: 0.057, domain labels: 0.747, previous assignment: 0.919
Epoch: 4, NMI against class labels: 0.058, domain labels: 0.734, previous assignment: 0.884
Epoch: 5, NMI against class labels: 0.057, domain labels: 0.738, previous assignment: 0.959
Epoch: 6, NMI against class labels: 0.058, domain labels: 0.740, previous assignment: 0.916
Epoch: 7, NMI against class labels: 0.056, domain labels: 0.762, previous assignment: 0.932
Epoch: 8, NMI against class labels: 0.056, domain labels: 0.759, previous assignment: 0.951
Epoch: 9, NMI against class labels: 0.057, domain labels: 0.743, previous assignment: 0.857
Epoch: 10, NMI against class labels: 0.056, domain labels: 0.765, previous assignment: 0.877
Epoch: 11, NMI against class labels: 0.057, domain labels: 0.758, previous assignment: 0.917
Epoch: 12, NMI against class labels: 0.060, domain labels: 0.742, previous assignment: 0.872
Epoch: 13, NMI against class labels: 0.056, domain labels: 0.754, previous assignment: 0.854
Epoch: 14, NMI against class labels: 0.058, domain labels: 0.763, previous assignment: 0.879
Epoch: 15, NMI against class labels: 0.055, domain labels: 0.770, previous assignment: 0.887
Epoch: 16, NMI against class labels: 0.055, domain labels: 0.762, previous assignment: 0.945
Epoch: 17, NMI against class labels: 0.056, domain labels: 0.769, previous assignment: 0.923
Epoch: 18, NMI against class labels: 0.055, domain labels: 0.757, previous assignment: 0.897
Epoch: 19, NMI against class labels: 0.056, domain labels: 0.757, previous assignment: 0.946
Epoch: 20, NMI against class labels: 0.055, domain labels: 0.766, previous assignment: 0.954
Epoch: 21, NMI against class labels: 0.058, domain labels: 0.761, previous assignment: 0.894
Epoch: 22, NMI against class labels: 0.056, domain labels: 0.761, previous assignment: 0.895
Epoch: 23, NMI against class labels: 0.058, domain labels: 0.750, previous assignment: 0.935
Epoch: 24, NMI against class labels: 0.057, domain labels: 0.737, previous assignment: 0.908
Epoch: 25, NMI against class labels: 0.055, domain labels: 0.757, previous assignment: 0.947
Epoch: 26, NMI against class labels: 0.055, domain labels: 0.765, previous assignment: 0.955
Epoch: 27, NMI against class labels: 0.055, domain labels: 0.770, previous assignment: 0.965
Epoch: 28, NMI against class labels: 0.056, domain labels: 0.770, previous assignment: 0.984
Epoch: 29, NMI against class labels: 0.055, domain labels: 0.774, previous assignment: 0.975
Epoch: 30, NMI against class labels: 0.057, domain labels: 0.769, previous assignment: 0.943
Epoch: 31, NMI against class labels: 0.056, domain labels: 0.776, previous assignment: 0.964
Epoch: 32, NMI against class labels: 0.057, domain labels: 0.774, previous assignment: 0.960
Epoch: 33, NMI against class labels: 0.056, domain labels: 0.774, previous assignment: 0.962
Epoch: 34, NMI against class labels: 0.056, domain labels: 0.778, previous assignment: 0.963
Epoch: 35, NMI against class labels: 0.055, domain labels: 0.778, previous assignment: 0.952
Epoch: 36, NMI against class labels: 0.055, domain labels: 0.782, previous assignment: 0.977
Epoch: 37, NMI against class labels: 0.055, domain labels: 0.781, previous assignment: 0.967
Epoch: 38, NMI against class labels: 0.057, domain labels: 0.777, previous assignment: 0.937
Epoch: 39, NMI against class labels: 0.055, domain labels: 0.781, previous assignment: 0.939
Epoch: 40, NMI against class labels: 0.055, domain labels: 0.781, previous assignment: 0.994
Epoch: 41, NMI against class labels: 0.055, domain labels: 0.784, previous assignment: 0.981
Epoch: 42, NMI against class labels: 0.055, domain labels: 0.782, previous assignment: 0.987
Epoch: 43, NMI against class labels: 0.055, domain labels: 0.784, previous assignment: 0.986
Epoch: 44, NMI against class labels: 0.055, domain labels: 0.782, previous assignment: 0.989
Epoch: 45, NMI against class labels: 0.055, domain labels: 0.781, previous assignment: 0.980
Epoch: 46, NMI against class labels: 0.057, domain labels: 0.776, previous assignment: 0.941
Epoch: 47, NMI against class labels: 0.055, domain labels: 0.778, previous assignment: 0.947
Epoch: 48, NMI against class labels: 0.055, domain labels: 0.781, previous assignment: 0.985
Epoch: 49, NMI against class labels: 0.055, domain labels: 0.782, previous assignment: 0.999
Epoch: 50, NMI against class labels: 0.055, domain labels: 0.782, previous assignment: 0.997
Epoch: 51, NMI against class labels: 0.055, domain labels: 0.782, previous assignment: 1.000
Epoch: 52, NMI against class labels: 0.055, domain labels: 0.783, previous assignment: 0.999
Epoch: 53, NMI against class labels: 0.055, domain labels: 0.782, previous assignment: 0.997
Epoch: 54, NMI against class labels: 0.055, domain labels: 0.782, previous assignment: 0.994
Epoch: 55, NMI against class labels: 0.055, domain labels: 0.781, previous assignment: 0.983
Epoch: 56, NMI against class labels: 0.055, domain labels: 0.782, previous assignment: 0.983
Epoch: 57, NMI against class labels: 0.055, domain labels: 0.781, previous assignment: 0.989
Epoch: 58, NMI against class labels: 0.055, domain labels: 0.781, previous assignment: 0.999
Epoch: 59, NMI against class labels: 0.055, domain labels: 0.782, previous assignment: 0.994
