Epoch: 0, NMI against class labels: 0.091, domain labels: 0.671, previous assignment: -0.000
Epoch: 1, NMI against class labels: 0.083, domain labels: 0.664, previous assignment: 0.800
Epoch: 2, NMI against class labels: 0.088, domain labels: 0.653, previous assignment: 0.844
Epoch: 3, NMI against class labels: 0.067, domain labels: 0.692, previous assignment: 0.782
Epoch: 4, NMI against class labels: 0.104, domain labels: 0.625, previous assignment: 0.693
Epoch: 5, NMI against class labels: 0.069, domain labels: 0.683, previous assignment: 0.707
Epoch: 6, NMI against class labels: 0.109, domain labels: 0.628, previous assignment: 0.668
Epoch: 7, NMI against class labels: 0.071, domain labels: 0.649, previous assignment: 0.687
Epoch: 8, NMI against class labels: 0.119, domain labels: 0.618, previous assignment: 0.674
Epoch: 9, NMI against class labels: 0.104, domain labels: 0.617, previous assignment: 0.787
Epoch: 10, NMI against class labels: 0.112, domain labels: 0.625, previous assignment: 0.795
Epoch: 11, NMI against class labels: 0.103, domain labels: 0.613, previous assignment: 0.776
Epoch: 12, NMI against class labels: 0.119, domain labels: 0.627, previous assignment: 0.730
Epoch: 13, NMI against class labels: 0.114, domain labels: 0.627, previous assignment: 0.797
Epoch: 14, NMI against class labels: 0.107, domain labels: 0.625, previous assignment: 0.684
Epoch: 15, NMI against class labels: 0.108, domain labels: 0.613, previous assignment: 0.842
Epoch: 16, NMI against class labels: 0.118, domain labels: 0.640, previous assignment: 0.707
Epoch: 17, NMI against class labels: 0.108, domain labels: 0.634, previous assignment: 0.740
Epoch: 18, NMI against class labels: 0.099, domain labels: 0.614, previous assignment: 0.834
Epoch: 19, NMI against class labels: 0.096, domain labels: 0.627, previous assignment: 0.878
Epoch: 20, NMI against class labels: 0.113, domain labels: 0.626, previous assignment: 0.708
Epoch: 21, NMI against class labels: 0.114, domain labels: 0.615, previous assignment: 0.776
Epoch: 22, NMI against class labels: 0.104, domain labels: 0.614, previous assignment: 0.837
Epoch: 23, NMI against class labels: 0.108, domain labels: 0.639, previous assignment: 0.866
Epoch: 24, NMI against class labels: 0.113, domain labels: 0.630, previous assignment: 0.818
Epoch: 25, NMI against class labels: 0.110, domain labels: 0.626, previous assignment: 0.909
Epoch: 26, NMI against class labels: 0.110, domain labels: 0.622, previous assignment: 0.932
Epoch: 27, NMI against class labels: 0.109, domain labels: 0.621, previous assignment: 0.920
Epoch: 28, NMI against class labels: 0.110, domain labels: 0.622, previous assignment: 0.935
Epoch: 29, NMI against class labels: 0.109, domain labels: 0.622, previous assignment: 0.948
Epoch: 30, NMI against class labels: 0.110, domain labels: 0.623, previous assignment: 0.950
Epoch: 31, NMI against class labels: 0.110, domain labels: 0.624, previous assignment: 0.981
Epoch: 32, NMI against class labels: 0.110, domain labels: 0.624, previous assignment: 0.955
Epoch: 33, NMI against class labels: 0.109, domain labels: 0.624, previous assignment: 0.968
Epoch: 34, NMI against class labels: 0.109, domain labels: 0.624, previous assignment: 0.970
Epoch: 35, NMI against class labels: 0.108, domain labels: 0.625, previous assignment: 0.970
Epoch: 36, NMI against class labels: 0.108, domain labels: 0.625, previous assignment: 0.958
Epoch: 37, NMI against class labels: 0.108, domain labels: 0.622, previous assignment: 0.957
Epoch: 38, NMI against class labels: 0.109, domain labels: 0.623, previous assignment: 0.944
Epoch: 39, NMI against class labels: 0.109, domain labels: 0.622, previous assignment: 0.945
Epoch: 40, NMI against class labels: 0.110, domain labels: 0.622, previous assignment: 0.955
Epoch: 41, NMI against class labels: 0.111, domain labels: 0.623, previous assignment: 0.954
Epoch: 42, NMI against class labels: 0.110, domain labels: 0.625, previous assignment: 0.977
Epoch: 43, NMI against class labels: 0.108, domain labels: 0.623, previous assignment: 0.938
Epoch: 44, NMI against class labels: 0.110, domain labels: 0.622, previous assignment: 0.953
Epoch: 45, NMI against class labels: 0.109, domain labels: 0.624, previous assignment: 0.969
Epoch: 46, NMI against class labels: 0.109, domain labels: 0.625, previous assignment: 0.988
Epoch: 47, NMI against class labels: 0.110, domain labels: 0.625, previous assignment: 0.947
Epoch: 48, NMI against class labels: 0.109, domain labels: 0.623, previous assignment: 0.947
Epoch: 49, NMI against class labels: 0.109, domain labels: 0.623, previous assignment: 0.990
Epoch: 50, NMI against class labels: 0.109, domain labels: 0.623, previous assignment: 0.991
Epoch: 51, NMI against class labels: 0.109, domain labels: 0.623, previous assignment: 0.998
Epoch: 52, NMI against class labels: 0.109, domain labels: 0.623, previous assignment: 0.993
Epoch: 53, NMI against class labels: 0.109, domain labels: 0.623, previous assignment: 0.988
Epoch: 54, NMI against class labels: 0.109, domain labels: 0.622, previous assignment: 0.993
Epoch: 55, NMI against class labels: 0.109, domain labels: 0.623, previous assignment: 0.992
Epoch: 56, NMI against class labels: 0.109, domain labels: 0.622, previous assignment: 0.993
Epoch: 57, NMI against class labels: 0.109, domain labels: 0.623, previous assignment: 0.982
Epoch: 58, NMI against class labels: 0.109, domain labels: 0.623, previous assignment: 0.995
Epoch: 59, NMI against class labels: 0.109, domain labels: 0.622, previous assignment: 0.984
